Site Name,Address,Post Code,Location Type,Ward,Sticker,Postcode area,Site Number,UPRN,Latitude,Longitude,y,x,Recyclables-Mixed Glass,Recyclables-Paper,Recyclables-Textiles,Recyclables Small Electrical,Non LCC Banks,Type,Tally of Sites,Cleaning,No of  Glass Banks,Apr 16 Glass Tonnages Kg,May 16 Glass Tonnages Kg,Jun 16 Glass Tonnages Kg,Jul 16 Glass Tonnages Kg,Aug 16 Glass Tonnages Kg,Sep 16 Glass Tonnages Kg,Oct 16 Glass Tonnages Kg,Nov 16 Glass Tonnages Kg,Dec 16 Glass Tonnages Kg,Jan 17 Glass Tonnages Kg,Feb 17 Glass Tonnages Kg,Mar 17 Glass Tonnages Kg,Apr 17 Glass Tonnages Kg,May 17 Glass Tonnages Kg,Jun 17 Glass Tonnages Kg,Jul 17 Glass Tonnages Kg,Aug 17 Glass Tonnages Kg,Sep 17 Glass Tonnages Kg,Oct 17 Glass Tonnages Kg,Nov 17 Glass Tonnages Kg,Dec 17 Glass Tonnages Kg,Jan 18 Glass Tonnages Kg,Feb 18 Glass Tonnages Kg,Mar 18 Glass Tonnages Kg,04/18 Glass Tonnages Kg,05/18 Glass Tonnages Kg,06/18 Glass Tonnages Kg,07/18 Glass Tonnages Kg,08/18 Glass Tonnages Kg,09/18 Glass Tonnages Kg,10/18 Glass Tonnages Kg,11/18 Glass Tonnages Kg,12/18 Glass Tonnages Kg,01/19 Glass Tonnages Kg,02/19 Glass Tonnages Kg,03/19 Glass Tonnages Kg,Total from Apr 19,12 Month Average
 Armley Conservative Club - Leeds Jazz Club,Armley Ridge Road,LS12 3NU,Social Club,Armley,,LS12,21910,72662636,53.798438,-1.59674,433646,426659,Y,,,,,Glass,1,,1,,,,,,"1,652",,760,572,,597,260,359,,699,,118,382,117,253,323,189,,,531,531,621,816,741,,903,,,651,,,4794,685
Abbey Inn,Pollard Lane,LS13 1EQ,Pub,Bramley and Stanningley,Y,LS13,22312,72158661,53.826684,-1.637747,436774,423942,Y,,,,,Glass,1,,1,267,,665,807,484,407,,660,330,816,527,823,181,560,433,300,709,,,617,105,758,"3,391","2,020","3,488", ,435,478,812,,,509,325,"1,618",342,170,8176,908
Acorn Public House,"Leeds Bradford Road, Bramley",LS13 1NS,Pub,Bramley and Stanningley,Y,LS13,22313,72118188,53.819699,-1.634268,435998,424175,Y,,,,,Glass,1,,1,,198,698,579,274,,376,,390,,,364,,244,325,187,,"1,227",209,577,209,95,210,467,,534,385,213,,"1,109",,218,163,164,256,,3042,380
Adel War Memorial Association,Church Lane,LS16 8DG,Social Club,Adel and Wharfedale,Y,LS16,22314,72564100,53.855966,-1.587172,440050,427252,Y,,,,,Glass,1,,1,"1,014",420,593,,71,653,,751,731,513,527,177,331,660,194,443,475,"1,076",826,"1,863",379,388,,346,666,,0,480,290,239,0,286,164,,210,866,3201,320
Adrian Social Club,Belle Vue Avenue,LS8 2NN,Social Club,Roundhay,Y,LS8,21900,72019451,53.824459,-1.48834,436587,433778,Y,Y,,,,"Glass, Paper",1,,3,"1,448","1,785","2,208","2,539",,"1,561","2,189","1,537","2,781","1,860","2,097",,"2,975",990,"3,111","1,875","1,724","1,063","1,899","2,415","2,694","1,704","3,213","2,360",842,"3,107","2,166","1,040","2,488","1,412",717,"2,345","2,778","3,833",754,594,22076,"1,840"
Adwalton Cricket Club,"Moorside Vale, Dridlington",BD11 1HG,Sports Club,Kippax and Methley,,BD11,21901,72547359,53.751773,-1.654953,428434,422850,Y,,,,,Glass,1,,1,854,348,,,317,,,268,,,337,"2,043",200,,,692,71,,,,,310,,,"3,247",529,0,,,671,,,306,,165,,4919,820
Aireborough Guisley Sport Centre,"St Oswalds Terrace, Guiseley",LS20 9BT,Leisure Centre,Guiseley and Rawdon,Y,LS20,21902,72292763,53.873091,-1.707248,441916,419346,Y,Y,Y,,,"Glass, Paper, Textile",1,,2,"1,499","1,148","1,241","2,060","2,059","1,307","1,585","1,713","2,813","1,731","1,870","1,298","2,169","3,199","2,584","3,276","3,473","1,471","1,610",577,"2,724","2,072","2,861","2,726","3,216","2,630","3,571","3,800","3,231","2,075","3,235",,"5,247","4,305","3,274","3,866",38450,"3,495"
Allied Glass,Haigh Park Road,LS10 1NQ,Business,City and Hunslet,,LS10,22333,72187971,53.786766,-1.528641,432375,431153,Y,,,,,Glass,,,,,,,,,,,,,"1,064",,,,,,,792,,,,,"1,233",,,,"2,630",,,,,,0,,,156,,2786,929
Alwoodley Community Centre,"The Avenue, Alwoodley",LS17 7NZ,Social Club,Alwoodley,Y,LS17,21962,72523636,53.858701,-1.555171,440367,429355,Y,,,,,Glass,1,,1,980,"1,192","1,628","1,151",511,553,"1,064","1,221","2,651","1,829",956,"1,197","1,501","1,571","1,372","1,421","1,489",,,,"1,160","1,818","1,034","1,228","1,845","1,737","1,112","1,904","1,304",,"1,443","1,395","1,726","1,796","1,769","1,633",17664,"1,606"
Anchor Inn,"Victoria Street, Castleford",WF10 2DF,Pub,Kippax and Methley,Y,WF10,21906,72527193,53.743386,-1.367903,427631,441786,Y,,,,,Glass,1,,3,,"1,527","1,262",,,,"1,622","1,622",,"1,596",,"1,345","1,116",829,"2,236",825,"1,344",,,,"1,238",205,,"2,579","1,824","1,845",739,"3,599","2,698",500,738,"2,111",926,"2,384",545,"1,974",19882,"1,657"
Angel Inn,"55 Wakefield Road, Rothwell",LS26 0SF,Pub,Ardsley and Robin Hood,Y,LS26,21907,72373011,53.747997,-1.507937,428071,432547,Y,,,,,Glass,1,,3,"1,617",725,924,,255,764,668,601,,884,177,207,"1,027",103,"2,260",574,"1,015","13,181","14,243","8,342",568,329,170,"1,347",726,186,"17,322",710,"1,006",,,943,820,568,90,940,23311,"2,331"
Archery Road,Archery Road,LS2 9AR,Road Side,Hyde Park and Woodhouse,,LS2,,72666640,53.808231,-1.548826,434755,429808,,,Y,Y,,"Textile, Small Electrical Appliances",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armley Liberal Club,Armley Lodge Road,LS12 2AT,Social Club,Armley,,LS12,21907,72006069,53.79901,-1.587747,433713,427251,Y,,,,,Glass,,,,,,,,,,,,,,,,,,,,,"9,364","11,150","8,864",,,713,,173,90,"14,124",204,,405,114,308,,217,0,,15634,"1,737"
ASDA - Adel,Holt Park,LS16 7RY,Supermarket,Adel and Wharfedale,,LS16,20457,72552152,53.856074,-1.606008,440055,426013,Y,Y,Y,,,"Glass, Paper, Small electrical applicances, Textiles",1,,7,"15,284","13,512","5,828","15,883","14,120","12,794","11,365","16,581","21,162","20,144","15,274","17,045","16,185","16,915",,"17,490","13,736",396,,748,"16,417","18,518","11,887","17,914","18,537","16,026","17,322","20,532","14,947","13,288","14,978","13,100","17,398","19,326","12,574","14,860",192888,"16,074"
ASDA - Killingbeck,Killingbeck Drive,LS14 6UF,Supermarket,Killingbeck and Seacroft,,LS14,20459,72247070,53.806674,-1.476545,434614,434569,Y,,Y,Y,,"Glass, Textile, Small electrical appliances",1,,,"12,734","8,377","9,427","12,196","9,241","8,320","10,587","9,943","17,033","13,743","12,592","11,296","12,240","9,577","13,586","10,708","9,092",336,227,,"10,079","13,081","9,685","11,288","12,706","14,134","12,517","11,936","11,227","9,614","7,700","8,448","14,507","12,695","6,346","9,733",131563,"10,964"
ASDA - Kirkstall,385 Kirkstall Road,LS4 2EZ,Supermarket,Kirkstall,Y,LS4,22127,72565137,53.807124,-1.587181,434616,427283,Y,Y,Y,,,"Glass, Paper, Textile",1,,3,"4,954","5,371","8,038","6,874","7,405","4,200","4,349","6,716","6,938","7,143","5,537","5,123","4,993","4,787","4,961","8,193","3,507","11,413","11,961","7,649","4,017","5,837","4,038","4,826","5,706","4,180","1,396","6,145","3,540","1,967","3,308","3,521","5,116","6,063","3,950","4,112",49004,"4,084"
ASDA - Morley,"Howey Park Road, Morley",LS27 0BN,Supermarket,Morley South,,LS27,20458,72394479,53.735223,-1.61014,426608,425815,Y,Y,Y,,,"Glass, Paper, Textile",1,,,"12,986","13,132","11,211","15,200","11,104","11,947","10,779","13,043","14,346","14,305","12,011","12,661","11,260","13,288","17,808","12,560","12,234","2,233","2,051","1,403","13,095","16,753","12,295","12,197","17,473","10,774","14,124","13,657","12,404","9,887","13,318","11,685","14,294","9,901","7,618","13,613",148748,"12,396"
ASDA - Pudsey,"Owlcotes Shopping Centre, Stanningley By-Pass",LS28 6AR,Supermarket,Calverley and Farsley,,LS28,20456,72557455,53.803682,-1.671503,434204,421732,Y,Y,,,,"Glass, Paper",1,,,"17,426","17,355","12,323","18,969","19,064","14,611","16,539","16,923","16,870","18,950","15,139","16,517","17,077","18,969","17,993","16,462","17,229",511,182,,"16,348","22,503","16,014","15,781","18,861","13,726","17,622","18,452","18,302","17,137","16,420","14,200","36,159","17,032",,"17,107",205018,"18,638"
Back Vicars Road,Shepherds Lane,LS8 4LG,Road Side,Gipton and Harehills,Y,LS8,21912,72183877,53.815432,-1.52067,435568,431657,Y,,,,,Glass,1,,1,,,621,,,136,274,256,183,893,,366,,439,351,60,181,356,,504,274,189,,,779,359,157,160,234,0,0,344,0,597,75,,2706,246
Bay Horse,"Woodhouse Hill Road, Hunslet",LS10 2DN,Pub,City and Hunslet,Y,LS10,21915,72548511,53.772257,-1.530382,430760,431049,Y,,,,,Glass,1,,1,,,,614,603,171,267,354,,617,379,264,353,364,311,264,349,,547,578,,344,,472,,599,615,"1,124",,595,774,616,493,366,580,286,6048,605
Bay Horse Inn,"66 Town Street, Farsley, Pudsey",LS28 5LF,Pub,Pudsey,Y,LS28,,72276260,53.813396,-1.670622,435285,421785,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beechwood WMC,Ramshead Drive,LS14 1BS,Social Club,Killingbeck and Seacroft,Y,LS14,21918,72539505,53.829393,-1.471582,437144,434877,Y,,,,,Glass,1,,1,,,,701,,,,,268,,,275,,,,586,,"2,478","3,423","2,551",491,,,,,,528,,,,294,,,,,,822,411
Beeston Hill Social Club (closed),130 Beeston Road,LS11 8BB,Social Club,Beeston and Holbeck,,LS11,21919,72563694,53.778065,-1.554506,431396,429455,Y,,,,,Glass,1,,3,,402,,"2,873",,,851,,"1,384",980,,191,712,,700,512,,271,196,,774,,,,,,"1,211",,539,,603,,,,"5,578",,7931,"1,983"
Belle Isle WMC,"Town Street, Middleton",LS10 3PE,Social Club,Middleton Park,Y,LS10,21920,72548580,53.754842,-1.527058,428824,431281,Y,,,,,Glass,1,,1,"1,125","1,920","1,922",223,"2,486","1,036","1,169","2,124","1,573","1,633","2,862","1,586","2,284","2,264","1,561","1,705","1,034",,76,,"1,826","2,730","1,593",432,"1,806","2,164","2,418","6,113",925,"1,343",489,"1,064","2,211","2,898","1,378",646,23455,"1,955"
Bennett Road,Bennett Road,LS6 3BA,Road Side,Headingley,,LS6,,72572287,53.820496,-1.577445,436108,427915,,,Y,,,Textile,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bingley Arms,"37 Church Lane, Bardsey",LS17 9DR,Pub,Harewood,,LS17,21922,72388698,53.881582,-1.448349,442962,436361,Y,,,,,Glass,1,,1,"2,602","3,123","3,673","3,005","1,599","2,711","3,331","1,375","4,620","3,874","3,025","3,241","4,000","2,846","4,663","2,935","2,569",686,,827,"3,137","4,476","2,322","2,967","2,864","2,015","4,345","2,987","1,948","2,740","3,499","2,710","3,243","1,075","1,280","4,320",33026,"2,752"
Bird in Hand,"Springmead Drive, Garforth",LS25 1JW,Pub,Garforth and Swillington,Y,LS25,21923,72316625,53.789438,-1.382648,432746,440769,Y,,,,,Glass,1,,1,279,496,,,675,273,297,448,154,272,428,,,,,493,,"3,004","2,780","2,747",139,493,,449,,149,528,,,,0,,266,,,,943,236
Black Bull Inn,"Commercial Street, Rothwell",LS26 0AX,Pub,Rothwell,Y,LS26,21924,72375654,53.748472,-1.475858,428139,434662,Y,,,,,Glass,1,,1,244,,195,74,74,203,239,325,85,175,171,207,368,,171,,,712,"1,059",566,,164,,539,,,"3,458",177,252,,,471,328,0,0,,4686,669
Blands Arms,"Great North Road, Micklefield",LS25 4AQ,Pub,Kippax and Methley,Y,LS25,21925,72322081,53.79412,-1.32729,433300,444411,Y,,,,,Glass,1,,1,479,599,560,508,327,405,636,701,421,544,742,689,476,890,396,575,982,,,,488,329,679,530,569,"1,153",598,,717,351,671,672,370,640,623,329,6692,608
Boston Spa School,"Clifford Moor Road, Boston Spa",LS23 6RW,Educational Facility,Wetherby,Y,LS23,21963,72555408,53.900101,-1.361994,445070,442019,Y,,,,,Glass,1,,1,,,89,,187,,291,187,,,,,"3,375","3,364",,,575,"4,150","3,711","2,766",,,,,,,"7,194",,"1,028",,,,,,,0,8222,"2,741"
Brackenwood Community Centre,Brackenwood Drive,LS8 1RG,Community Centre,Roundhay,Y,LS8,22051,72560195,53.83801,-1.524616,438078,431380,Y,,,,,Glass,1,,2,742,268,"1,576","1,295","1,213",543,"1,094",839,"1,129",856,699,586,,,852,239,883,,,"1,121",,"1,268","1,251",815,779,"1,571","2,024","1,501","1,449","1,217",674,"1,567","2,471","1,811",,,15065,"1,506"
Brackenwood Drive/Bus Turning Circle,Brackenwood Drive,LS8 1SF,Road Side,Roundhay,Y,LS8,22032,72636036,53.832026,-1.522336,437415,431298,Y,,,,,Glass,1,,1,557,791,"1,443",971,910,394,274,590,881,869,556,529,763,"1,324",,714,548,,,,,742,749,980,,"1,242",559,307,,602,92,554,"1,140","1,728",579,"1,068",7870,787
Bramham Primary School,Bramham Road,LS23 6JQ,Educational Facility,Wetherby,Y,LS23,21926,72567765,53.887022,-1.35171,443621,442708,Y,,,,,Glass,1,,2,"4,618","4,089","4,729","5,720",756,"2,292","2,936","3,587","5,469","4,215","3,488","2,886",,,"4,035","4,172","2,727",,547,278,"4,125","4,061","2,673","3,469","2,756","1,521","3,458","3,669","2,998","1,611","2,768","2,732","2,632","1,985","1,760","2,422",30311,"2,526"
Bramley Band Club,Elswick Terrace,LS13 2BG,Social Club,Armley,Y,LS13,21927,72217864,53.808907,-1.623595,434801,424884,Y,,,,,Glass,1,,1,237,496,,635,183,483,752,285,,446,411,,345,244,266,,0,255,,285,984,347,413,234,260,,435,142,,475,"1,032",204,0,509,827,178,4062,406
Bramley WMC,Elder Road,LS13 4BY,Social Club,Pudsey,Y,LS13,21930,72064109,53.804823,-1.631376,434344,424374,Y,,,,,Glass,1,,3,,694,,,824,241,251,190,936,,,548,534,,619,460,,,,,109,568,414,443,,281,464,273,,"1,216",0,116,0,651,634,304,3938,394
British Lending Library,Thorpe Arch,LS23 7BQ,Business,Wetherby,Y,LS23,21934,72393710,53.919742,-1.32142,447280,444664,Y,,,,,Glass,1,,1,,465,,143,,907,,,145,,,,,,460,,164,,717,,,,,,,,"2,101",,,,,,,,,,2101,"2,101"
British Oak Public House,"Westerton Road, East Ardsley",WF3 1AF,Pub,Ardsley and Robin Hood,Y ,WF3,21935,72370410,53.723972,-1.57625,425369,428058,Y,,,,,Glass,1,,1,"2,877","3,513","3,771","3,900","4,698","2,791","2,919","4,623","3,990","4,497","4,773","3,292","3,044","4,264","3,165","3,259","4,189",,,,"3,415","5,474","3,808","3,141","3,746","3,741","3,274","5,165","2,996","3,119","3,328","2,212","2,263","1,959","2,590","2,219",36611,"3,051"
Broadlea Hill Community Centre,"Broadlea Hill, Bramley",LS13 2SN,Community Centre,Bramley and Stanningley,Y,LS13 ,23186,72028337,53.817594,-1.618634,435769,435769,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,0,0,,29,281,0,,109,969,138
Brownlee (former Grey Horse Public House),"Long Row, Horsforth",LS18 5AA,Pub,Horsforth,Y,LS18,22039,72307672,53.842434,-1.635559,438527,424077,Y,,,,,Glass,1,,1,,587,,421,,,668,"1,085",,,332,,336,,,,543,274,404,631,479,260,,,535,281,592,,298,,,705,,375,412,,3198,457
Bruntcliffe WMC,"Wakefield Road, Morley",LS27 0LQ,Social Club,Morley North,Y,LS27,21937,72349938,53.744021,-1.623599,427582,424922,Y,,,,,Glass,1,,1,107,,314,,159,174,372,134,69,529,,339,,361,155,463,,"1,455","1,133","1,467",280,344,,,535,,"5,225",391,,0,455,,0,0,0,,6606,826
Burley Road,Burley Road,LS4 2NZ,Road Side,Kirkstall,,LS4,,7259800,53.810572,-1.585043,435001,427417,,,Y,Y,,"Textile, Small Electrical Appliances",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulls Head Public House,20 St Matthews Street,LS11 9NR,Pub,Beeston and Holbeck,,LS11,21939,72643413,53.786237,-1.559838,432303,429098,Y,,,,,Glass,1,,3,,302,,587,487,,239,,195,267,,637,356,,350,256,,,,,730,,480,186,,195,301,,,604,101,,528,321,193,,2242,320
Bus Terminus,Sir George Martins Drive,LS16 8JE,Transport,Adel and Wharfedale,Y,LS16,21941,72256138,53.853396,-1.577072,439768,427918,Y,,,,,Glass,1,,4,"5,235","3,575","5,472","4,886","1,980","5,879","1,425","6,095","7,157","5,218","5,373","5,352","4,479","5,515","4,021","5,974","5,130",,,,"7,118","5,099","5,875","6,074","5,615","4,094","5,225","5,219","5,223","3,371","5,452","4,792",943,"5,668","2,385","5,524",53512,"4,459"
Buzz Bingo,Stonebridge Lane,LS12 4QN,Business,Farnley and Wortley,Y,LS12,22016,72566622,53.792398,-1.613178,432968,425580,Y,,,,,Glass,1,,1,,,,767,,530,404,,468,267,486,,623,,108,,,954,774,684,383,423,410,,268,,646,92,,702,114,308,,651,289,397,3467,385
Calverley Conservative Club,"Victoria Street, Calverley",LS28 5PT,Social Club,Calverley and Farsley,Y,LS28,21943,72272754,53.82743,-1.689123,436841,420560,Y,,,,,Glass,1,,1,"1,718","1,748","2,181","2,040","1,182",973,502,"1,278",704,"2,545","1,316","1,683","1,503",1,"1,946","1,834","1,300","1,121",487,276,"2,777","1,625","1,588","1,917","2,142","2,062","2,203","1,719","1,168","1,598",,"1,908","2,009","1,933",268,"1,366",18376,"1,671"
Car Park,Hyde Park Road Site 1,LS6 1PY,Car Park,Hyde Park and Woodhouse,,LS6,22188,72103767,53.806171,-1.5688884,434517,428489,,,,,,,,,,494,613,"1,549","1,133",813,918,655,"1,470","1,062",585,610,942,,,,787,358,"6,329","8,631","7,585",,,,,,,,,,765,218,,274,206,"1,746",,,
Cardinal Court Residents Association,Cardinal Court,LS11 8HP,Community Centre,,,LS11,23138,72725099,53.764868,-1.570377,429921,428418,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,267,70,73,,626,,650,,,"1,469",496,245,,273,85,591,"2,091",,197,5447,681
Caribbean Cricket Club,"Scott Hall Rd, Leeds",LS7 2HH,Social Club,Chapel Allerton,Y,LS7,22227,72566311,53.820315,-1.543927,436101,430122,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,67,110,55
Carlton WMC,"Main Street, Carlton",WF3 3RW,Social Club,Rothwell,Y ,WF3,21945,72567722,53.741007,-1.489339,427302,433779,Y,,,,,Glass,1,,2,,942,"1,333",,"1,472",614,,938,"1,167",439,,"1,097",931,729,"1,168",530,636,,,,905,"1,368",317,"1,215",795,,"1,284",640,,503,,644,370,834,0,310,5381,598
Carpark,"Richardshaw Road, Stanningley",LS28 6AH,Car Park,Pudsey,Y,LS28,22203,72567603,53.803623,-1.666614,434199,422054,Y,,,,,Glass,1,,1,301,485,665,255,"1,236",795,,,,553,648,858,,,,,,572,104,93,,,,,,,,,,,,,,,,,0,#DIV/0!
