Site Name,Address,Post Code,Location Type,Ward,Sticker,Postcode area,Site Number,UPRN,Latitude,Longitude,y,x,Recyclables-Mixed Glass,Recyclables-Paper,Recyclables-Textiles,Recyclables Small Electrical,Non LCC Banks,Type,Tally of Sites,Cleaning,No of  Glass Banks,Apr 16 Glass Tonnages Kg,May 16 Glass Tonnages Kg,Jun 16 Glass Tonnages Kg,Jul 16 Glass Tonnages Kg,Aug 16 Glass Tonnages Kg,Sep 16 Glass Tonnages Kg,Oct 16 Glass Tonnages Kg,Nov 16 Glass Tonnages Kg,Dec 16 Glass Tonnages Kg,Jan 17 Glass Tonnages Kg,Feb 17 Glass Tonnages Kg,Mar 17 Glass Tonnages Kg,Apr 17 Glass Tonnages Kg,May 17 Glass Tonnages Kg,Jun 17 Glass Tonnages Kg,Jul 17 Glass Tonnages Kg,Aug 17 Glass Tonnages Kg,Sep 17 Glass Tonnages Kg,Oct 17 Glass Tonnages Kg,Nov 17 Glass Tonnages Kg,Dec 17 Glass Tonnages Kg,Jan 18 Glass Tonnages Kg,Feb 18 Glass Tonnages Kg,Mar 18 Glass Tonnages Kg,04/18 Glass Tonnages Kg,05/18 Glass Tonnages Kg,06/18 Glass Tonnages Kg,07/18 Glass Tonnages Kg,08/18 Glass Tonnages Kg,09/18 Glass Tonnages Kg,10/18 Glass Tonnages Kg,11/18 Glass Tonnages Kg,12/18 Glass Tonnages Kg,01/19 Glass Tonnages Kg,02/19 Glass Tonnages Kg,03/19 Glass Tonnages Kg,Total from Apr 19,12 Month Average
Co-op School Lane,Stainbeck Lane,LS7 3PJ,Supermarket,Chapel Allerton,Y,LS7,21967,72737735,53.772444,-1.565809,430766,428714,Y,,,,,Glass,1,,4,"7,852","6,663",,"9,033","7,830","9,610","5,923","10,513","14,891","11,750","10,716","8,835","10,508","10,400","9,985","4,977","18,435","2,481","2,884","1,808","9,506","13,733","10,239","8,248","12,875","10,814","13,618","16,447","13,523","10,964","13,793","12,381","14,138","31,224","23,272",19.574.44,173048,"15,732"
Corner House Club,Lidgett Lane,LS17 6QE,Social Club,Moortown,Y,LS17,21968,72522938,53.841514,-1.533513,438464,430792,Y,,,,,Glass,1,,1,"1,723","1,959","2,327","2,244","2,464","1,539","1,193","2,381","1,129",976,"2,780","2,400","1,906","3,107","2,167","3,083","2,604",457,460,103,"2,593","2,172","2,664","2,481","3,718","2,996","2,304","2,949","2,277","1,922","3,455","2,987","3,235",,"5,988","5,153",36984,"3,362"
Corpus Christi Catholic Mens Club,Halton Moor Avenue,LS9 0HD,Social Club,Temple Newsam,,LS9,21969,72560923,53.798579,-1.483356,433710,434127,Y,,,,,Glass,1,,3,228,458,,744,775,234,670,181,208,761,,840,320,517,246,455,267,,,,495,574,356,646,,515,"1,186",175,690,336,484,352,532,0,346,560,5176,471
Cottingley Shops Car Park,Cottingley Vale,LS11 0JY,Shops,Beeston and Holbeck,,,22317,72254886,53.769092,-1.583685,430386,427538,Y,,,,,Glass,,,,,,698,,,177,404,,"1,991",960,417,,,,381,,,"2,670","5,254","3,785",387,617,,742,,192,207,,270,,,,317,,,868,1853,371
Cricketers Arms,"The Green, Seacroft",LS14 6JW,Pub,Killingbeck and Seacroft,Y,LS14,21975,72210056,53.819923,-1.460293,436096,435628,Y,,,,,Glass,1,,1,,,197,477,843,519,"1,413",,351,233,434,538,,776,474,670,321,"2,819","3,682","3,773",354,266,152,80,634,442,"1,723",808,607,324,437,423,321,553,588,,6860,624
Crossgates & Dist. Rec Hall,"Poplar Avenue, Crossgates",LS15 8ED,Social Club,Cross Gates and Whinmoor,Y,LS15,21976,72159210,53.806648,-1.446584,434626,436542,Y,,,,,Glass,1,,3,,,"1,577",,,"1,875",,"1,440",,"1,998",,"1,662",,,"1,854",,"2,602","3,494","3,008","2,826",,"1,809",916,,"1,708",,"1,195",,"1,723",,"1,514","10,508",,"2,158",,"4,915",23720,"3,389"
Crossgates WMC,Orchard Road,LS15 7LP,Social Club,Killingbeck and Seacroft,,LS15,21978,72150534,53.805862,-1.455524,434534,435954,Y,,,,,Glass,1,,3,,544,390,361,"2,254",983,942,,416,974,528,325,372,517,"1,170",240,167,492,,190,,531,600,754,215,84,"4,457",701,371,,787,245,328,629,196,,8014,801
Crusader Public House,"Long Meadow Gate, Garforth ",LS25 2BY,Pub,Garforth and Swillington,Y,LS25,21980,72314954,53.783566,-1.378652,432095,441038,Y,Y,,,,"Glass, Paper, Small Electrical applicanes",1,,3,"2,991","4,087","5,322","4,136","5,299","4,204","8,694","3,272","5,006","3,585","4,316","4,401","4,900","5,203","5,177","5,039","4,893","3,368","4,934","2,561","4,548","5,847","4,045","5,559","4,925","5,643","4,884","4,080","4,776","3,915","4,686","5,443","5,521","3,852","3,831","6,223",57779,"4,815"
Deepdale Community Centre,"Deepdale Lane, Boston Spa",LS23 6EH,Childrens Centre,Wetherby,Y,LS23,21981,72651236,53.907551,-1.356826,445902,442351,Y,,,,,Glass,1,,1,"3,131","3,645","3,246","4,166","3,073","2,438","3,332","4,925","5,714","4,806","2,600","3,260","3,139","3,556","4,523","4,208","3,404",336,,,"4,987","4,280","3,667","4,576","4,577","3,066","6,311","5,616","4,461","3,729","4,614","4,890","4,301","2,554","2,413",,46532,"4,230"
Devon Hotel,Kingswear Crescent,LS15 8LR,Pub,Cross Gates and Whinmoor,Y,LS15,21982,72111147,53.80243,-1.444119,434158,436708,Y,,,,,Glass,1,,3,"1,830",,"2,970","1,094","2,036","1,321","6,664","1,336","2,597",254,"1,466",635,"2,310","2,358","2,886","1,864","2,423","1,418","1,800","1,198","3,034","1,238","2,219","2,742","2,128","1,886","1,723","2,624","1,242","1,928","2,396","1,110","2,037","4,043",467,"4,220",25803,"2,150"
Devonshire Hall,Cumberland Rd,LS6 2EQ,Business,Headingley,,LS6,23142,72055042,53.818326,-1.565614,435871,428696,Y,,,,,Glass,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,441,441
Dewsbury Rd Social Club,Dewsbury Road,LS11 5LR,Social Club,Beeston and Holbeck,,LS11,21983,72532349,53.770104,-1.550312,430512,429737,Y,,Y,,,"Glass, Textiles",1,,1,,,,291,81,412,,282,,713,,,191,,,597,,"5,580","2,637","2,676",129,,632,186,,,660,,595,,201,,317,,"2,390",,4163,833
Drighlington Cricket Club,Station Road,BD11 1JU,Sports Club,Morley North,Y,BD11,21985,72547352,53.755411,-1.663447,428836,422288,Y,Y,,,,"Glass, Paper",1,,3,"3,771","6,672","3,750","2,948","6,573","5,414","3,182","4,795","5,858","3,871","6,263","1,864","4,751","4,519","3,759","4,000","7,487",522,"1,576","1,125","5,609","4,786","5,010","3,566","3,247","6,429","4,457","4,225","3,084","3,008","4,233","1,942","3,315","5,421","2,653","7,265",49279,"4,107"
Driglington Tempest Club,Bradford Road,BD11 1AB,Social Club,Morley North,,BD11,22332,72352819,53.75745,-1.663112,429063,422309,Y,Y,,,,"Glass, Paper",,,,375,562,157,297,310,764,,760,,272,284,,,580,174,551,141,"4,047","3,201","2,866",494,344,,,,618,881,561,,,652,,536,534,,507,4288,613
Duke Of Wellington,"Main Street, East Keswick",LS17 9DB,Pub,Harewood,Y,LS17,21987,72389346,53.892047,-1.451072,444125,436173,Y,,,,,Glass,1,,2,"1,586","1,212","1,836","2,089",938,806,"1,323",550,"2,448","2,566","1,174","1,889","1,175","1,335","2,607","1,720","1,278",,,,"2,109","1,911","1,388","2,388","1,558","1,074","1,835","1,465","1,282","1,399","1,180","1,184","1,492",721,814,"1,509",15513,"1,293"
East & West Ardsley WMC (closed),"Bradford Road, East Ardsley",WF3 2EP,Social Club,Ardsley and Robin Hood,Y ,WF3,21988,72546324,53.727642,-1.552296,425787,429636,Y,,,,,Glass,1,,3,"3,177","5,043","4,021","4,204","4,688","2,406","2,339","4,186","3,269","3,431","3,064","2,760","2,130","3,578","2,320","3,294",495,,115,429,"2,738","5,611","1,946","3,138","2,861","2,266","2,129","4,101","1,981","2,719","2,483",805,"2,332","1,373","1,941","1,358",26348,"2,196"
