Site Name,Address,Post Code,Location Type,Ward,Sticker,Postcode area,Site Number,UPRN,Latitude,Longitude,y,x,Recyclables-Mixed Glass,Recyclables-Paper,Recyclables-Textiles,Recyclables Small Electrical,Non LCC Banks,Type,Tally of Sites,Cleaning,No of  Glass Banks,04/19 Glass Tonnages Kg,05/19 Glass Tonnages Kg,06/19 Glass Tonnages Kg,07/19 Glass Tonnages Kg,08/19 Glass Tonnages Kg,09/19 Glass Tonnages Kg,10/19 Glass Tonnages Kg,11/19 Glass Tonnages Kg,12/19 Glass Tonnages Kg,01/20 Glass Tonnages Kg,02/20Glass Tonnages Kg,03/20 Glass Tonnages Kg,,,,,,,,,,,,,,,,,,,,,,,,,,
ASDA - Pudsey,"Owlcotes Shopping Centre, Stanningley By-Pass",LS28 6AR,Shops,Calverley and Farsley,,LS28,20456,72557455,53.803682,-1.671503,434204,421732,Y,Y,,,,"Glass, Paper",1,,,"19,925","16,739","13,851","18,335","14,410","13,202","11,056",12593,13240,18438,11080.09,13787.24,,,,,,,,,,,,,,,,,,,,,,,,,,
Back Vicars Road,Shepherds Lane,LS8 4LG,Road Side,Gipton and Harehills,Y,LS8,21912,72183877,53.815432,-1.52067,435568,431657,Y,,,,,Glass,1,,1,240,0,168,270,137,,,123,129,311,118.92,503.29,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay Horse,"Woodhouse Hill Road, Hunslet",LS10 2DN,Pub,City and Hunslet,Y,LS10,21915,72548511,53.772257,-1.530382,430760,431049,Y,,,,,Glass,1,,1,783,551,,"1,451",365,752,,501,338,333,183.2,337.69,,,,,,,,,,,,,,,,,,,,,,,,,,
Beechwood WMC,Ramshead Drive,LS14 1BS,Social Club,Killingbeck and Seacroft,Y,LS14,21918,72539505,53.829393,-1.471582,437144,434877,Y,,,,,Glass,1,,1,499,,,,,666,,,,,,580.73,,,,,,,,,,,,,,,,,,,,,,,,,,
Beeston Hill Social Club (closed),130 Beeston Road,LS11 8BB,Social Club,Beeston and Holbeck,,LS11,21919,72563694,53.778065,-1.554506,431396,429455,Y,,,,,Glass,1,,3,205,,,619,262,153,,681,,665,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennett Road,Bennett Road,LS6 3BA,Road Side,Headingley,,LS6,,72572287,53.820496,-1.577445,436108,427915,,,Y,,,Textile,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belle Isle WMC,"Town Street, Middleton",LS10 3PE,Social Club,Middleton Park,Y,LS10,21920,72548580,53.754842,-1.527058,428824,431281,Y,,,,,Glass,1,,1,"3,871",760,"1,694","2,994","2,338","1,004","1,355",2237,1725,2969,1445,1075.83,,,,,,,,,,,,,,,,,,,,,,,,,,
Bingley Arms,"37 Church Lane, Bardsey",LS17 9DR,Pub,Harewood,,LS17,21922,72388698,53.881582,-1.448349,442962,436361,Y,,,,,Glass,1,,1,"2,433","3,450",711,"2,065","3,720","2,478",,3232,3932,2003,3657.53,1836.24,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird in Hand,"Springmead Drive, Garforth",LS25 1JW,Pub,Garforth and Swillington,Y,LS25,21923,72316625,53.789438,-1.382648,432746,440769,Y,,,,,Glass,1,,1,,,,,,,,,606,358,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Bull Inn,"Commercial Street, Rothwell",LS26 0AX,Pub,Rothwell,Y,LS26,21924,72375654,53.748472,-1.475858,428139,434662,Y,,,,,Glass,1,,1,,504,,,341,,228,,178,684,272.05,0,,,,,,,,,,,,,,,,,,,,,,,,,,
